City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
183,happy valley-goose bay,53.3168,-60.3315,287.32,54,75,2.57,CA,1718503213
184,inirida,3.8653,-67.9239,295.35,98,100,0.25,CO,1718503399
185,muisne,0.6,-80.0333,297.22,87,100,1.01,EC,1718503399
186,yorkton,51.2167,-102.4677,294.06,49,75,1.54,CA,1718503254
187,lebu,-37.6167,-73.65,282.68,91,16,1.65,CL,1718503344
188,smithers,54.7804,-127.1743,284.33,82,100,5.66,CA,1718503399
189,amga,60.8953,131.9608,295.17,42,88,5.74,RU,1718503399
190,fort bragg,35.139,-79.006,302.06,55,0,2.57,US,1718503284
191,lihue,21.9789,-159.3672,303.73,70,40,6.69,US,1718503400
192,julayjilah,25.5,49.6,303.43,21,0,2.02,SA,1718503400
193,al bardiyah,31.7561,25.0865,294.59,80,36,7.48,LY,1718503400
194,st. john's,47.5649,-52.7093,290.75,94,100,8.75,CA,1718503221
195,dudinka,69.4058,86.1778,275.19,89,100,4.47,RU,1718503400
196,seven pagodas,12.6264,80.1722,303.78,71,100,6.59,IN,1718503400
197,nadi,-17.8,177.4167,301.15,69,75,4.63,FJ,1718503400
198,amol,36.4696,52.3507,296.55,76,2,0.86,IR,1718503400
199,necochea,-38.5473,-58.7368,283.8,64,0,3.05,AR,1718503209
200,papatowai,-46.5619,169.4708,280.63,88,100,3.21,NZ,1718503259
201,jeddah,21.5169,39.2192,303.07,70,0,1.54,SA,1718503202
202,talodi,10.6325,30.3797,298.18,59,100,1.14,SD,1718503400
203,togur,58.3631,82.8265,298.23,63,0,3.58,RU,1718503401
204,remire-montjoly,4.9167,-52.2667,298.17,94,75,4.63,GF,1718503246
205,kongsvinger,60.1905,11.9977,284.52,99,100,3.24,NO,1718503401
206,fale old settlement,-9.3852,-171.2468,302.04,74,100,5.82,TK,1718503401
207,sandnessjoen,66.0217,12.6316,281.44,70,1,5.29,NO,1718503401
208,college,64.8569,-147.8028,297.33,42,40,4.63,US,1718503401
209,sitka,57.0531,-135.33,287.09,72,20,6.17,US,1718503401
210,port alfred,-33.5906,26.891,288.72,86,25,1.8,ZA,1718503268
211,preobrazheniye,42.9019,133.9064,286.85,100,100,1.5,RU,1718503401
212,vila velha,-20.3297,-40.2925,296.12,83,20,3.09,BR,1718503337
213,sollenau,47.9026,16.2498,288.85,88,100,1.79,AT,1718503401
214,chany,55.3121,76.7647,295.99,80,0,4.03,RU,1718503401
215,tonota,-21.4833,27.4833,283.3,81,0,2.63,BW,1718503402
216,mejit,10.2753,170.8646,301.47,78,100,6.43,MH,1718503402
217,kailua-kona,19.6406,-155.9956,300.53,81,75,1.54,US,1718503402
218,hooper,41.1638,-112.1224,302.55,17,0,2.06,US,1718503402
219,touros,-5.1989,-35.4608,296.68,92,20,3.46,BR,1718503402
220,nadym,65.5333,72.5167,280.91,64,90,5.37,RU,1718503402
221,vernon,50.2581,-119.2691,286.73,67,100,0.45,CA,1718503266
